,pod,pod_lat,pod_lon,station_code,"station_lat,",station_lon,distance
0,IT001E04333150,40.0486111111,15.8394444444,3507,40.0486111111,15.8394444444,0.0
1,IT001E25760390,45.692894700000004,9.7084879,6810,45.687222222200006,9.72166666667,1.2027122216725927
2,IT001E04634023,45.7041614,9.6627007,641,45.7002777778,9.668888888889999,0.6462626403043462
3,IT001E25744814,45.697479,9.6719513,641,45.7002777778,9.668888888889999,0.3917936705005807
4,IT001E04303273,45.6950474,9.666523,641,45.7002777778,9.668888888889999,0.6100982310438885
5,IT001E04645383,45.71714,9.66867,641,45.7002777778,9.668888888889999,1.8755988850632421
6,IT001E04483702,45.697858000000004,9.6695116,641,45.7002777778,9.668888888889999,0.2734555440156779
7,IT001E16584623,45.690240100000004,9.661745199999999,641,45.7002777778,9.668888888889999,1.246785931520182
8,IT001E00086466-LT,45.6532046,9.717799099999999,3236,45.659444444399995,9.723611111110001,0.8281575929308762
9,IT001E04634033,45.6977298,9.6678201,641,45.7002777778,9.668888888889999,0.2953137933750502
10,IT001E17691940,45.7151682,9.6755645,641,45.7002777778,9.668888888889999,1.7354723698099435
11,IT001E16258569,45.7128104,9.685469900000001,7319,45.718611111099996,9.70666666667,1.768070054548415
12,IT001E04013938,45.7069735,9.694372999999999,7319,45.718611111099996,9.70666666667,1.6084451373825672
13,IT001E04556686,45.695229955,9.669510065,641,45.7002777778,9.668888888889999,0.5635204030623271
14,IT001E00086392,45.695229955,9.669510065,641,45.7002777778,9.668888888889999,0.5635204030623271
15,IT001E04406598,45.695229955,9.669510065,641,45.7002777778,9.668888888889999,0.5635204030623271
16,IT001E17130065,45.70411845,9.66618325222,641,45.7002777778,9.668888888889999,0.47608591742820705
17,IT001E04492919,45.7002777778,9.668888888889999,641,45.7002777778,9.668888888889999,0.0
18,IT001E00120510,45.695229955,9.669510065,641,45.7002777778,9.668888888889999,0.5635204030623271
19,IT001E25534859,45.695229955,9.669510065,641,45.7002777778,9.668888888889999,0.5635204030623271
20,IT001E15303866,45.695229955,9.669510065,641,45.7002777778,9.668888888889999,0.5635204030623271
21,IT001E00125637,45.695229955,9.669510065,641,45.7002777778,9.668888888889999,0.5635204030623271
22,IT001E17663740,45.695229955,9.669510065,641,45.7002777778,9.668888888889999,0.5635204030623271
23,IT001E16189547,45.6949128,9.6810694,641,45.7002777778,9.668888888889999,1.118690644608127
24,IT001E25554633,45.7002777778,9.668888888889999,641,45.7002777778,9.668888888889999,0.0
25,IT001E04078517,45.70411845,9.66618325222,641,45.7002777778,9.668888888889999,0.47608591742820705
26,IT001E18226569,45.695229955,9.669510065,641,45.7002777778,9.668888888889999,0.5635204030623271
27,IT001E25747356,45.692904999999996,9.667105000000001,641,45.7002777778,9.668888888889999,0.8316741722460333
28,IT001E25625651,45.7176161,9.6746112,641,45.7002777778,9.668888888889999,1.9790295814809546
29,IT001E15303893,45.679982700000004,9.6669891,4789,45.6763888889,9.6925,2.022409874588442
30,IT001E25758508,45.695229955,9.669510065,641,45.7002777778,9.668888888889999,0.5635204030623271
31,IT001E04713084,45.6932341,9.6644734,641,45.7002777778,9.668888888889999,0.8552467328823975
32,IT001E17123995,45.6853405,9.6745317,4789,45.6763888889,9.6925,1.7149233005100626
33,IT001E25763634,45.695229955,9.669510065,641,45.7002777778,9.668888888889999,0.5635204030623271
34,IT001E25747969,45.695229955,9.669510065,641,45.7002777778,9.668888888889999,0.5635204030623271
35,IT001E15272558,45.680125399999994,9.647175,3458,45.6672222222,9.63,1.9599640948925803
36,IT001E15198327,45.695229955,9.669510065,641,45.7002777778,9.668888888889999,0.5635204030623271
37,IT001E25771345,45.695229955,9.669510065,641,45.7002777778,9.668888888889999,0.5635204030623271
38,IT001E00238475,45.7002777778,9.668888888889999,641,45.7002777778,9.668888888889999,0.0
39,IT001E17865425,45.695229955,9.669510065,641,45.7002777778,9.668888888889999,0.5635204030623271
40,IT001E00086434,45.695229955,9.669510065,641,45.7002777778,9.668888888889999,0.5635204030623271
41,IT001E00120486,45.695229955,9.669510065,641,45.7002777778,9.668888888889999,0.5635204030623271
42,IT001E04492918,45.69785,9.70247,3202,45.7052777778,9.719444444439999,1.5560153930746
43,IT001E25758509,45.695229955,9.669510065,641,45.7002777778,9.668888888889999,0.5635204030623271
44,IT001E00086399,45.682728000000004,9.6621606,641,45.7002777778,9.668888888889999,2.02078034787542
45,IT001E17165899,45.6671442,9.659797300000001,433,45.6616666667,9.67388888889,1.2533938221683953
46,IT001E25749929,45.6924153,9.6776879,641,45.7002777778,9.668888888889999,1.1099744397682851
47,IT001E16458790,45.6871973,9.6662476,641,45.7002777778,9.668888888889999,1.4692926894589244
48,IT001E25753807,45.695229955,9.669510065,641,45.7002777778,9.668888888889999,0.5635204030623271
49,IT001E17681152,45.67735220000001,9.6622789,433,45.6616666667,9.67388888889,1.9641969540357236
50,IT001E25762105,45.70536920000001,9.660030099999998,641,45.7002777778,9.668888888889999,0.8911929563603956
51,IT001E00086466-ARV,45.6532046,9.717799099999999,3236,45.659444444399995,9.723611111110001,0.8281575929308762
52,IT001E00238126,45.7002777778,9.668888888889999,641,45.7002777778,9.668888888889999,0.0
53,IT001E04634030,45.6977298,9.6678201,641,45.7002777778,9.668888888889999,0.2953137933750502
54,IT001E04483714,45.698016700000004,9.6694894,641,45.7002777778,9.668888888889999,0.25578120576702673
55,IT001E16476863,45.6961408,9.689422800000001,641,45.7002777778,9.668888888889999,1.660208633019104
56,IT001E25757510,45.698473799999995,9.675882699999999,641,45.7002777778,9.668888888889999,0.5791677799019048
